,Parameter,Nominal,,,,,,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35
,gpdk090.scs,NN,,,,,,FF,FF,FF,FF,FF,FF,FF,FF,FF,FS,FS,FS,FS,FS,FS,FS,FS,FS,SF,SF,SF,SF,SF,SF,SF,SF,SF,SS,SS,SS,SS,SS,SS,SS,SS,SS
,temperature,27,,,,,,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60,0,25,60
,vg,600e-3,,,,,,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3,500e-3,500e-3,500e-3,600e-3,600e-3,600e-3,700e-3,700e-3,700e-3

Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,C0_0,C0_1,C0_2,C0_3,C0_4,C0_5,C0_6,C0_7,C0_8,C0_9,C0_10,C0_11,C0_12,C0_13,C0_14,C0_15,C0_16,C0_17,C0_18,C0_19,C0_20,C0_21,C0_22,C0_23,C0_24,C0_25,C0_26,C0_27,C0_28,C0_29,C0_30,C0_31,C0_32,C0_33,C0_34,C0_35
comps_Ckts:Differential_Cascode:1,"pv(""PM23"" ""gmoverid"" ?result ""dcOpInfo"")",8.231,range 5 18,,pass,6.148,10.15,10.15,9.649,9.062,10.15,9.649,9.062,10.15,9.649,9.062,7.374,6.963,6.473,7.374,6.963,6.473,7.374,6.963,6.473,9.795,9.283,8.66,9.795,9.283,8.66,9.795,9.283,8.66,7.079,6.664,6.148,7.079,6.664,6.148,7.079,6.664,6.148
comps_Ckts:Differential_Cascode:1,"pv(""PM22"" ""gmoverid"" ?result ""dcOpInfo"")",6.612,range 5 18,,pass,5.011,8.22,8.212,7.796,7.316,8.212,7.796,7.316,8.212,7.796,7.316,5.682,5.373,5.011,5.682,5.373,5.011,5.682,5.373,5.011,8.22,7.804,7.324,8.22,7.804,7.324,8.22,7.804,7.324,5.687,5.378,5.017,5.687,5.378,5.017,5.687,5.378,5.017
comps_Ckts:Differential_Cascode:1,"pv(""PM21"" ""gmoverid"" ?result ""dcOpInfo"")",8.231,range 5 18,,pass,6.148,10.15,10.15,9.649,9.062,10.15,9.649,9.062,10.15,9.649,9.062,7.374,6.963,6.473,7.374,6.963,6.473,7.374,6.963,6.473,9.795,9.283,8.66,9.795,9.283,8.66,9.795,9.283,8.66,7.079,6.664,6.148,7.079,6.664,6.148,7.079,6.664,6.148
comps_Ckts:Differential_Cascode:1,"pv(""PM2"" ""gmoverid"" ?result ""dcOpInfo"")",6.912,range 5 18,,pass,5.153,8.723,8.723,8.246,7.702,8.723,8.246,7.702,8.723,8.246,7.702,5.883,5.545,5.153,5.883,5.545,5.153,5.883,5.545,5.153,8.723,8.246,7.702,8.723,8.246,7.702,8.723,8.246,7.702,5.883,5.545,5.153,5.883,5.545,5.153,5.883,5.545,5.153
comps_Ckts:Differential_Cascode:1,"pv(""PM1"" ""gmoverid"" ?result ""dcOpInfo"")",6.612,range 5 18,,pass,5.011,8.22,8.212,7.796,7.316,8.212,7.796,7.316,8.212,7.796,7.316,5.682,5.373,5.011,5.682,5.373,5.011,5.682,5.373,5.011,8.22,7.804,7.324,8.22,7.804,7.324,8.22,7.804,7.324,5.687,5.378,5.017,5.687,5.378,5.017,5.687,5.378,5.017
comps_Ckts:Differential_Cascode:1,"pv(""NM7"" ""vdsat"" ?result ""dcOpInfo"")",143.1e-3,> 100m,,pass,106.1e-3,207.6e-3,110.9e-3,121e-3,135.3e-3,110.9e-3,121e-3,135.3e-3,110.9e-3,121e-3,135.3e-3,106.1e-3,115.9e-3,129.7e-3,106.1e-3,115.9e-3,129.7e-3,106.1e-3,115.9e-3,129.7e-3,167.7e-3,183.7e-3,207.6e-3,167.7e-3,183.7e-3,207.6e-3,167.7e-3,183.7e-3,207.6e-3,159.8e-3,175.1e-3,197.8e-3,159.8e-3,175.1e-3,197.8e-3,159.8e-3,175.1e-3,197.8e-3
comps_Ckts:Differential_Cascode:1,"pv(""NM7"" ""gmoverid"" ?result ""dcOpInfo"")",11.42,range 5 18,,pass,7.496,15.12,14.4,13.49,12.39,14.4,13.49,12.39,14.4,13.49,12.39,15.12,14.17,13.03,15.12,14.17,13.03,15.12,14.17,13.03,9.41,8.585,7.496,9.41,8.585,7.496,9.41,8.585,7.496,10.05,9.218,8.141,10.05,9.218,8.141,10.05,9.218,8.141
comps_Ckts:Differential_Cascode:1,"pv(""NM48"" ""vdsat"" ?result ""dcOpInfo"")",147.8e-3,> 100m,,pass,111.6e-3,208.9e-3,115.6e-3,126.8e-3,143.1e-3,115.6e-3,126.8e-3,143.1e-3,115.6e-3,126.8e-3,143.1e-3,111.6e-3,123e-3,139.3e-3,111.6e-3,123e-3,139.3e-3,111.6e-3,123e-3,139.3e-3,169.6e-3,185.7e-3,208.9e-3,169.6e-3,185.7e-3,208.9e-3,169.6e-3,185.7e-3,208.9e-3,162.9e-3,178.6e-3,201.7e-3,162.9e-3,178.6e-3,201.7e-3,162.9e-3,178.6e-3,201.7e-3
